MMSI,DepartureTime,LATd,LONd,ArrivalTime,LATa,LONa,AVGSPDkmph,DistanceKm,VesselType,Length,Width,Draft
205366000,2017-11-26 19:51:00,57.4066,21.53463,2017-11-26 19:51:00,57.4066,21.53463,28.65,723.43028,80.00,143.00,21.00,8.20
205366000,2017-11-27 13:18:00,57.4066,21.53437,2017-12-28 13:57:00,54.16002,12.14124,2.73,2030.43443,80.00,143.00,21.00,8.20
205366000,2018-06-02 7:38:00,54.16003,12.1413,2018-06-03 5:43:00,57.59724,11.69437,21.09,465.67234,80.00,143.00,21.00,8.20
205366000,2018-06-03 12:16:00,57.59602,11.69184,2018-06-08 5:43:00,54.16005,12.14124,5.49,622.78374,80.00,143.00,21.00,8.20
205366000,2018-09-15 8:27:00,59.42259,27.72447,2018-10-01 15:16:00,54.16008,12.14128,6.03,2356.37863,80.00,143.00,21.00,8.20
205366000,2018-08-24 0:09:00,54.16004,12.14126,2018-09-14 19:04:00,59.42253,27.72443,4.51,2358.31043,80.00,143.00,21.00,8.20
205437000,2017-11-17 10:37:00,59.42248,27.72453,2017-11-18 16:43:00,60.76312,20.91248,22.84,687.59781,80.00,169.00,27.00,11.10
205437000,2017-11-12 0:22:00,57.79016,10.38046,2017-11-15 23:24:00,59.42248,27.72444,19.23,1827.53599,80.00,169.00,27.00,11.10
205460000,2018-08-12 21:51:00,58.08862,11.81652,2018-08-13 20:23:00,54.23452,11.95024,23.33,525.74832,80.00,180.00,29.00,10.40
205465000,2018-06-17 6:45:00,54.36577,10.14325,2018-06-20 16:05:00,59.88102,30.23198,17.99,1463.92768,70.00,88.00,13.00,4.60
205465000,2018-10-06 16:52:00,59.50143,16.02154,2018-10-20 2:53:00,59.25892,10.49129,5.55,1786.78169,70.00,88.00,13.00,4.60
205465000,2018-10-01 13:05:00,59.18463,10.95264,2018-10-06 2:28:00,59.50145,16.02157,11.32,1238.10286,70.00,88.00,13.00,4.60
205465000,2018-07-19 19:18:00,54.70446,20.45957,2018-08-18 14:42:00,59.2584,10.49195,3.45,2467.03905,70.00,88.00,13.00,4.60
205465000,2018-07-17 18:17:00,54.15381,12.11005,2018-07-19 4:33:00,54.70438,20.45885,17.15,587.82475,70.00,88.00,13.00,4.60
205465000,2018-07-16 12:25:00,54.36607,10.1433,2018-07-16 21:21:00,54.1538,12.11007,17.25,154.108,70.00,88.00,13.00,4.60
205465000,2018-06-28 10:46:00,59.18273,10.95398,2018-07-16 11:41:00,54.36605,10.14333,1.32,574.59328,70.00,88.00,13.00,4.60
205465000,2018-06-27 10:25:00,59.18272,10.95395,2018-06-28 5:19:00,56.66035,12.85522,19.07,360.40695,70.00,88.00,13.00,4.60
205465000,2018-06-23 20:29:00,59.88394,30.20597,2018-06-27 0:37:00,56.66032,12.85517,18.78,1430.0046,70.00,88.00,13.00,4.60
205465000,2018-06-17 6:45:00,54.36577,10.14325,2018-06-20 16:05:00,59.88102,30.23198,18.08,1470.26565,70.00,88.00,13.00,4.60
205465000,2017-12-24 8:46:00,59.88326,30.20724,2018-01-14 18:29:00,59.25845,10.49198,3.44,1765.25012,70.00,88.00,13.00,4.60
205465000,2017-11-14 14:38:00,54.70409,20.45675,2017-11-18 8:06:00,54.36645,10.14099,10.27,918.53399,70.00,88.00,13.00,4.60
205477000,2018-08-04 11:34:00,54.36549,10.14095,2018-08-04 21:51:00,55.22639,11.75479,14.36,147.6772,70.00,90.00,12.00,4.50
205477000,2018-07-21 16:30:00,54.15392,12.11003,2018-07-26 17:55:00,54.36606,10.14157,5.61,681.29402,70.00,90.00,12.00,4.50
205477000,2018-07-20 14:52:00,54.3658,10.14297,2018-07-21 0:49:00,54.1539,12.11001,15.2,151.27129,70.00,90.00,12.00,4.50
205477000,2018-07-02 14:52:00,55.22593,11.75451,2018-07-06 15:08:00,54.36576,10.14348,7.38,710.72024,70.00,90.00,12.00,4.50
205477000,2018-07-01 13:37:00,54.3661,10.14307,2018-07-02 0:46:00,55.22646,11.75492,13.4,149.44806,70.00,90.00,12.00,4.50
